,Gene.symbol,ID,NavB,MEmB,CD8T,CD4T,NKcell,Monocyte
1,IL10,100149903_TGI_at,0.002982408,0.296420179,0.002436001,0.574306499,0.202982788,7.26E-05
2,IL11,100125332_TGI_at,0.165783246,0.03137908,0.74938836,0.51363045,0.707694393,0.736949412
3,IL11,100161188_TGI_at,0.095062428,0.399178243,0.327279383,3.00E-05,0.813715163,0.356432937
4,IL12A,100147248_TGI_at,0.002157462,0.307804585,0.113247611,0.003016587,0.922483283,0.97302526
5,IL12B,100302938_TGI_at,NA,NA,NA,NA,NA,NA
6,IL12B,100159035_TGI_at,0.266135129,0.645359684,0.960842768,0.003423073,0.007311343,0.316260644
7,IL13,100125222_TGI_at,0.992374717,0.513747667,0.23490358,0.206853697,0.410233521,0.004646387
8,IL15,100147313_TGI_at,2.95E-06,0.23096026,0.000706604,5.30E-09,0.12672068,0.983463861
9,IL15,100300337_TGI_at,NA,NA,NA,NA,NA,NA
10,IL16,100307425_TGI_at,NA,NA,NA,NA,NA,NA
11,IL16,100153960_TGI_at,0.489666584,0.147305994,0.331243805,0.89959611,0.099301321,0.11842608
12,IL17A,100154377_TGI_at,0.89997021,0.169983625,0.859585727,0.414777947,0.392199099,0.576862763
13,IL17A,100135274_TGI_at,0.355287944,0.160111626,0.288939318,0.184916658,0.634761113,0.21466136
14,IL17B,100133503_TGI_at,0.03057804,0.817287582,0.085210464,7.75E-05,0.003708601,0.650798366
15,IL17C,100147900_TGI_at,0.980824817,0.893582269,0.863224554,0.334562168,0.491734441,0.546500171
16,IL17F,100132003_TGI_at,0.027572838,0.267122477,0.247044233,0.011796316,0.168965131,0.482555258
17,IL18,100139153_TGI_at,1.18E-06,0.131954646,0.000568799,0.356454312,0.092815593,0.000164553
18,IL19,100135404_TGI_at,0.870080735,0.720472947,0.775062559,0.269696392,0.006165635,0.305406768
19,IL1A,100163104_TGI_at,0.111937547,0.780739014,0.080954095,0.966628831,0.285484262,0.087610104
20,IL1B,100126016_TGI_at,0.021141029,0.133733095,0.001407471,0.332189097,0.389466091,0.006505251
21,IL1F10,100301500_TGI_at,NA,NA,NA,NA,NA,NA
22,IL1F10,100301064_TGI_at,NA,NA,NA,NA,NA,NA
23,IL1RN,100145439_TGI_at,0.976790836,0.05533315,0.274861957,0.044273437,0.003761264,0.000233423
24,IL1RN,100129344_TGI_at,0.570799736,0.152292771,0.790814183,0.56986234,0.001336655,0.125383772
25,IL2,100139019_TGI_at,0.121474957,0.413051414,0.857151318,0.000540961,2.84E-05,0.13680367
26,IL20,100130142_TGI_at,0.104857794,0.847682868,0.143983191,0.98434661,0.603201839,0.180552951
27,IL20,100301942_TGI_at,NA,NA,NA,NA,NA,NA
28,IL20,100310266_TGI_at,NA,NA,NA,NA,NA,NA
29,IL21,100140161_TGI_at,0.598260854,0.328657948,0.897619977,0.174857262,0.916136909,0.699819843
30,IL22,100147358_TGI_at,0.314225735,0.019785659,0.959241809,0.04346952,0.992082409,0.000585587
31,IL23A,100157877_TGI_at,0.94156103,0.078098277,0.278899599,0.832246374,0.255731399,0.174876044
32,IL24,100300582_TGI_at,NA,NA,NA,NA,NA,NA
33,IL25,100156062_TGI_at,0.924471047,0.282157863,0.792658316,0.002223226,0.014247237,0.086252225
34,IL26,100159528_TGI_at,0.172905381,0.097324191,0.270537655,0.011906779,0.00020463,0.781046388
35,IL27,100137498_TGI_at,0.002438738,0.382735043,0.00156006,0.001005319,0.896590485,0.339033025
36,IL3,100150022_TGI_at,0.604483296,0.755370859,0.470915871,0.743366043,0.097214458,0.392202923
37,IL31,100140398_TGI_at,0.279888903,0.421159177,0.992412783,0.006564784,0.818137741,0.061761822
38,IL32,100144830_TGI_at,0.003292561,0.202253127,8.22E-05,0.919413481,0.414686338,0.008158574
39,IL32,100122002_TGI_at,0.041256542,0.827824683,0.004519252,0.859637168,0.760254102,0.21223914
40,IL32,100310066_TGI_at,NA,NA,NA,NA,NA,NA
41,IL33,100159118_TGI_at,0.00010146,0.356671469,5.86E-05,0.331313132,0.953080688,1.07E-05
42,IL34,100142218_TGI_at,0.488270173,0.530687387,0.662119405,0.892030809,0.944805065,0.27705951
43,IL36A,100155692_TGI_at,0.00065614,0.47475164,0.013222276,0.022557134,0.228422859,0.211975114
44,IL36B,100301061_TGI_at,NA,NA,NA,NA,NA,NA
45,IL36B,100135960_TGI_at,0.292997567,0.543170636,0.786995798,0.005226506,0.016412839,0.177927561
46,IL36G,100159432_TGI_at,0.016403328,0.916037633,0.35786846,0.817914977,0.143545402,0.81308776
